ba_code,metric,lo,mid,hi
CISO,mape_normal,8.2,8.3494,8.499
CISO,mape_stress,7.5333,8.4875,9.4759
CISO,stress_penalty_pp,-0.8441,0.139,1.1637
CISO,stress_multiple,0.8992,1.0167,1.1401
CISO,ramp_mape_normal,8.3993,8.5441,8.6961
CISO,ramp_mape_stress,4.4272,4.7993,5.2377
CISO,ramp_stress_penalty_pp,-4.1561,-3.7449,-3.2958
CISO,ramp_stress_multiple,0.5166,0.5614,0.6123
ERCO,mape_normal,2.0322,2.1292,2.2282
ERCO,mape_stress,1.9744,2.4363,2.9789
ERCO,stress_penalty_pp,-0.1398,0.3055,0.8521
ERCO,stress_multiple,0.9346,1.1434,1.4003
ERCO,ramp_mape_normal,2.0553,2.1482,2.2461
ERCO,ramp_mape_stress,1.9396,2.1269,2.3207
ERCO,ramp_stress_penalty_pp,-0.1734,-0.0211,0.1486
ERCO,ramp_stress_multiple,0.9193,0.9903,1.0694
ISNE,mape_normal,2.7899,2.8681,2.9388
ISNE,mape_stress,1.031,1.1367,1.2556
ISNE,stress_penalty_pp,-1.8547,-1.7298,-1.6015
ISNE,stress_multiple,0.359,0.3968,0.4368
ISNE,ramp_mape_normal,2.7796,2.8513,2.9305
ISNE,ramp_mape_stress,1.357,1.4537,1.5656
ISNE,ramp_stress_penalty_pp,-1.5145,-1.399,-1.2725
ISNE,ramp_stress_multiple,0.4754,0.5096,0.5494
MISO,mape_normal,2.3356,2.421,2.5091
MISO,mape_stress,2.2653,2.5782,2.9103
MISO,stress_penalty_pp,-0.165,0.153,0.4856
MISO,stress_multiple,0.9328,1.063,1.2039
MISO,ramp_mape_normal,2.3441,2.4329,2.5239
MISO,ramp_mape_stress,2.2963,2.4417,2.5986
MISO,ramp_stress_penalty_pp,-0.1233,0.0129,0.1438
MISO,ramp_stress_multiple,0.9492,1.0053,1.0594
NYIS,mape_normal,2.5935,2.6791,2.7661
NYIS,mape_stress,3.1227,3.4912,3.8646
NYIS,stress_penalty_pp,0.4416,0.8074,1.1884
NYIS,stress_multiple,1.1639,1.3005,1.4465
NYIS,ramp_mape_normal,2.6339,2.7298,2.8231
NYIS,ramp_mape_stress,2.427,2.5747,2.7248
NYIS,ramp_stress_penalty_pp,-0.2832,-0.1546,-0.0279
NYIS,ramp_stress_multiple,0.8952,0.9433,0.9896
PJM,mape_normal,3.4325,3.498,3.5655
PJM,mape_stress,2.9397,3.1939,3.4516
PJM,stress_penalty_pp,-0.5568,-0.3059,-0.0362
PJM,stress_multiple,0.8414,0.9123,0.9897
PJM,ramp_mape_normal,3.3347,3.3922,3.4525
PJM,ramp_mape_stress,4.9099,5.1686,5.4486
PJM,ramp_stress_penalty_pp,1.5228,1.7768,2.0419
PJM,ramp_stress_multiple,1.4496,1.5235,1.6033
SOCO,mape_normal,1.7631,1.8893,2.0785
SOCO,mape_stress,1.4908,1.6899,1.9062
SOCO,stress_penalty_pp,-0.4435,-0.2045,0.026
SOCO,stress_multiple,0.7745,0.8915,1.0147
SOCO,ramp_mape_normal,1.6969,1.7892,1.8894
SOCO,ramp_mape_stress,2.1472,3.559,6.348
SOCO,ramp_stress_penalty_pp,0.3794,1.7754,4.5595
SOCO,ramp_stress_multiple,1.2143,1.9895,3.567
SWPP,mape_normal,7.2361,7.6725,8.1215
SWPP,mape_stress,6.6571,8.0373,9.7588
SWPP,stress_penalty_pp,-0.9808,0.3958,1.928
SWPP,stress_multiple,0.8727,1.0515,1.2493
SWPP,ramp_mape_normal,7.2182,7.6658,8.1437
SWPP,ramp_mape_stress,7.4981,8.3721,9.7384
SWPP,ramp_stress_penalty_pp,-0.0308,0.7186,1.8467
SWPP,ramp_stress_multiple,0.9961,1.0944,1.2382
