ba,dataset,rows,pulled_at_utc,window_start,window_end
PJM,region,69937,2026-09-02T15:15:33+00:00,2024-09-01T00,2026-09-01T00
PJM,fuel,140151,2026-09-02T15:15:33+00:00,2024-09-01T00,2026-09-01T00
MISO,region,69913,2026-09-02T15:15:33+00:00,2024-09-01T00,2026-09-01T00
MISO,fuel,136895,2026-09-02T15:15:33+00:00,2024-09-01T00,2026-09-01T00
CISO,region,69818,2026-09-02T15:15:33+00:00,2024-09-01T00,2026-09-01T00
CISO,fuel,146171,2026-09-02T15:15:33+00:00,2024-09-01T00,2026-09-01T00
ERCO,region,69868,2026-09-02T15:15:33+00:00,2024-09-01T00,2026-09-01T00
ERCO,fuel,147916,2026-09-02T15:15:33+00:00,2024-09-01T00,2026-09-01T00
ISNE,region,70082,2026-09-02T15:15:33+00:00,2024-09-01T00,2026-09-01T00
ISNE,fuel,180304,2026-09-02T15:15:33+00:00,2024-09-01T00,2026-09-01T00
NYIS,region,69940,2026-09-02T15:15:33+00:00,2024-09-01T00,2026-09-01T00
NYIS,fuel,140112,2026-09-02T15:15:33+00:00,2024-09-01T00,2026-09-01T00
SWPP,region,69484,2026-09-02T15:15:33+00:00,2024-09-01T00,2026-09-01T00
SWPP,fuel,145173,2026-09-02T15:15:33+00:00,2024-09-01T00,2026-09-01T00
SOCO,region,70033,2026-09-02T15:15:33+00:00,2024-09-01T00,2026-09-01T00
SOCO,fuel,196508,2026-09-02T15:15:33+00:00,2024-09-01T00,2026-09-01T00
